Topics,Sub-Topics,Query
Scheduling/Workforce,Shift allocation/selection,shift bidding
Recruiting & Hiring,SCAL shift bidding contacts,who can answer questions about shift bidding for scal region?
Forms/Documentation,Definition of Form 1451,1451 means
Forms/Documentation,Service Level Agreement (SLA) for Form 1480,sla for 1480 intermittent
Employee Separation,FMLA payment method on separation,FMLA DIRECT DEPOSIT OR CHECK
Forms/Documentation,Form submission requirements,is 2090 required after submitting 1500
Forms/Documentation,Specific form assistance (Form 1631),Help me with 1631
Employee Relations,General labor relations,labor relations
Credentialing & Certification,Revised PAC credentialing,Revised Pac
HR Policies,Labor relations contact,labor relations number
Leave of Absence,NCAL LOA request cancellation,how to cancel leave of absence request submitted for NCAL region
Leave of Absence,SCAL maternity leave sick hour usage,can the employee from SCAL allowed not to use their sick hours during maternity leave?
Legal,Third-party subpoena inquiry,3rd party caller asking about subpoena for employee
Benefits/Retirement,Retirement/Savings Plan B,Help me with Plan B
HCSA,Delta Care USA HCSA,delta care USA
Employee Records,Access Now information updates,how is information updated in access now
Employee Separation,Wage detachment,detach of wages
HR/Workplace,Work restrictions/modifications,modified duty
Pay Differential,Job accommodation pay differential,job accommodation
Pay Differential,Daily benefit amount change,How to change Daily benefit amount
Leave of Absence,Incorrect medical leave end date,incorrect end date under medical leave
Performance Reviews,Performance review end date revision,revised end date
Leave,Intermittent leave,Help me with intermittent
Reimbursement,Medical correspondence number for reimbursement,medical correspondence number
Medical,DFF medical information,Help me with DFF
HCSA,NHRSC health insurance verification,how to submit the verification of health insurance to NHRSC?
Benefits/Insurance,Cost-sharing in benefits,cost share
Leave of Absence,General medical leave,medical leave
Forms/Documentation,Specific form assistance (Form 2090),Help me with 2090
Recruiting & Hiring,Open position transfers,transfer open positions
Benefits/Leave,Disability benefits,permanent disability
Employee Records,Intermittent record revision,intermitttent revision
Employee Relations,Union OPEIU 2 contact,union opeiu 2 contact
Benefits,Benefits by design program,benefits by design
Compensation,Bonus eligibility/requirements,submit license for bonus
Employee Separation,W2 receipt verification,what department handle of CHECKING if the w2 form is received
Health/Benefits,Mental Health (MH),Help me with mh
HR Policies,Mental health employee policies,mh employee
Benefits,Per diem employee benefits,is there a benefits offered to per diem employee?
Benefits,Per diem employee benefits,what are the benefits offered to per diem employee?
Pay Differential,KP IT work hour policy,KP IT work hours
Education Assistance,CESLA from life balance,can CESLA hours be taken from life balance?
Forms/Documentation,I-9 form assistance,Help me with I-9
Benefits,Healthcare alternatives to COBRA,cobra alternatives
Benefits,COBRA affordability alternatives,alternative plan for employees for don't afford cobra?
Benefits,NCAL COBRA alternatives,what is the alternative plan for cobra for ncal employee who cannot afford cobra?
Benefits,NCAL benefits continuation alternatives,other options aside from COBRA when NCAL employee wants to continue benefits
Benefits,Healthcare alternatives to COBRA,other option aside from cobra
HR/Workplace,Work restrictions/modifications,light duty meaning
Payroll,General pay integration,pay integration
Pay Differential,Job shadowing information,Can you please give me information regarding job shadowing?
Recruiting & Hiring,Years of service in hiring,years of service
Employee Separation,Years of service transfer,Where can i transfer is the employee is asking for her years of service?
Employee Separation,Rehire waiting period after retirement,Is there a waiting period where the employee can apply again in Kaiser after they retired?
Forms,I-9 form assistance,Help me with I-9
Forms,I-9 form assistance,Help me with I9support
Financial,Loan programs,loan forgiveness
Benefits,24 Hour Fitness Kaiser coverage,is 24 hour fitness covered for Kaiser employees?
Compensation,Employee bonuses,anniversary bonus
Benefits,Health Reimbursement Arrangement (HRA),HRA GA ESL Bank
HCSA,Dental and Medicare combination,can i combine active dental coverage with medicare?
Compensation,Lead differential pay,Leads Differential
Retirement & Savings Plan,IRA account information,IRA account
Recruiting & Hiring,Job application eligibility,Eligibility criteria for job applications
Recruiting & Hiring,SCAL job application eligibility,SCAL Eligibility criteria for job applications
Recruiting & Hiring,SCAL job application eligibility,SCAL Recommend Eligibility criteria for job applications
HR Policies,Washington LOA request policy,LOA request washington employee
Leave of Absence,Washington leave request initiation,how do employee from washington initiate a leave request
Leave of Absence,General administrative leave,administrative leave
Leave of Absence,General administrative leave,admin leave
Retirement & Savings Plan,401k plan administrator,what is the plan admin of 401k?
Leave of Absence,Paid administrative leave,paid admin leave
Leave of Absence,HRConnect status change to paid leave,active status to paid leave status on hr connect
HR/Workplace,Accommodation requests,how to cancel accommodation request
Leave of Absence,Maternity leave request letter,letter request for maternity leave
Employee Relations,General letter requests,letter request
Leave of Absence,Maternity leave date letter,letter for dates in maternity leave
Payroll,Wageworks SSA information,wageworks SSA
Employee Records,Fax to employee records,Help me with 8774772329@kp.fax.org
IT/Systems,Temporary email accounts,temporary email
Employee Separation,Resignation notice period,how long that the employee needs to inform the employee for her resignation
SFR,Meaning,What is an sfr
SFR,SFR,Help me with SFR
Job Classification & Progression,Seniority date determination,seniority date
Forms/Documentation,Specific form submission (Form 2520),submit form 2520
Forms,Form 2520 submission,how to submit form 2520
Forms,Paper form submission,submit paper form
Benefits/Leave,Temporary Disability Insurance (TDI),Eligibility tDI
Benefits/Leave,Temporary Disability Insurance (TDI),TDI ELigibility
Business/Finance,Financial performance/summary,bottom line
Reimbursement,529 form reimbursement,Help me with 529 form
Retirement & Savings Plan,529 plan assistance,Help me with 529 from
Benefits,Gym membership benefits,does an employee has a free gym membership?
Leave of Absence,Late lunch break policy,what is the policy on late lunch breaks
Payroll,Wage verification loss,Wage Verification loss.
Payroll,Wage verification loss process,How to process Wage verification loss?
Payroll,Wage verification loss documentation,What I need to submit for wage verification loss.
Leave,Protected sick leave,protected sick
Employee Separation,Retroactive payment for inactive benefits,does the lab they did on the month that the benefits are inactive will be retro paid once they return to work?
Benefits,COBRA benefits (California),Help me with calcobra
Benefits,COBRA benefits (California),Help me with cal-cobra
Employee Separation,Last day of work procedures,last day work
Employment Termination,Last day of employment,last day owrk
Retirement & Savings Plan,401k to TSA transfer implications,what will happen if the employee transfer from 401k to TSA under vanguard
Recruiting & Hiring,Internal/external applicant process,internal / external applicant
Recruiting & Hiring,Internal/external applicant process,internal external applicant
Recruiting & Hiring,External applicant process,external applicant
Recruiting & Hiring,Oakland job applications,Job application in oakland
Employee Separation,Contingent worker termination,contigent worker termination process
Employment,Non-union employee information,non union grade
EDM,Meaning,What is EDM?
EDM,Meaning,EDM meaning
Forms,CMS form assistance,Help me with CMS form
Benefits,KP Fit rewards program,What are KP Fit rewards?
Recruiting & Hiring,Job accommodation definition,what is job accomodation?
Recruiting & Hiring,Job accommodation information,job accomodation
Systems/Tools,Specific system/alert assistance (KP Alert),Help me with KP Alert
Employee Separation,Asset return upon Kaiser departure,How can employee return their assets when they leave kaiser
Employee Separation,Asset return for inactive employees,How can Inactive employee return their assets?
HR Systems/Tools,ADP portal access instructions,steps to access adp website
HR Systems/Tools,ADP portal information,adp website
HR Systems/Tools,ADP portal access,adp website access
Travel,Travel expense/reimbursement,travel line number?
Employment,Promotions during Leave of Absence (LOA),offer for promotion while on LOA
Forms/Documentation,Specific form assistance (WH-380-E),Help me with WH-380-E.
Manager Tools,Manager override function,manager override
Leave of Absence,Bereavement leave timeline,bereavement leave timeline
Leave of Absence,Bereavement leave duration,until when can I take bereavement leave
Leave of Absence,Planned vacation leave,planned vacation
Employee Separation,Post-suicide payment policy,"if employee committed suicide, will the employee get paid?"
Forms,Form 1480,can we forward 1480 to another delegate
Payroll/Payments,Payroll processing/status,on cycle check
Payroll,On-cycle and off-cycle payroll,on cycle check and off cycle check
Emergency Access ,Employee emergency access,Breaking the glass of the EE.
Employee Relations,Employee questions on emergency access,how to assist employee with question about breaking the glass
Emergency Access ,Emergency access process,breaking the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access definition,What is break the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access process,break the glass
Emergency Access ,Emergency access process,breaking the g;ass
Emergency Access ,Emergency access process,breaking the glass
Emergency Access ,Emergency access process,breaking the glass
Emergency Access ,Emergency access process,breaking the  glass
Forms,SSA-44 form information,SSA - 44 form
Employee Separation,Voluntary benefits overpayment,overpayment voluntary benefits
FMLA,Bereavement Leave,"verification of your relationship for 	Bereavement"
Leave of Absence,Bereavement leave documentation,supporting documents for bereavement leave
Employee Separation,Form 1422 cancellation,can I cancel the 1422 submitted by the employee?
Benefits,Domestic partner benefits,domestic partnership
Forms,Form 1422 cancellation,cancelling the 1422
Employee Separation,Retirement deferral due to surgery,can an employee pushed back her retirement since she will be an upcoming surgery?
Benefits,Location-specific benefits,targeted location
Employee Verification & Records,Employee person ID sharing,can i provide the manager with the employees person id?
HCSA,Maui Health System information,what is maui health system?
Employee Verification & Records,TB shot record update,how to i update employee tb shot record
Leave of Absence,Bereavement leave duration,how long they can take bereavement leave
Leave of Absence,General bereavement leave,bereavement leave
Leave of Absence,Bereavement leave (typo corrected),bearevement leave
Approvals & Process Requests,Case submitter change,changing the submitter of the main case
Pay Differential,Alternate job code for pay,alternate job code
Payroll,ADP website information,ADP WEBSITE
Retirement & Savings Plan,Retiree pharmacy discounts,pharmacy discount for retirees
Leave of Absence,SCAL maternity leave sick time usage,can the employee on scal have an option not to use their sick time during maternity leave?
Education Assistance,Tuition reimbursement SLA,SLA FOR TUITION REIMBURSMENT
Training & Development,Summer youth employment program training,summer youth employment program
Employee Relations,Medical appointment policies,medical appointment
Need Phone Number,Hospital contact number,hospital number
Company Details,Kaiser hospital information,kaiser hospital
Employee Verification & Records,Employee data change process,employee data change
Forms,Form 3341 assistance,Help me with 3341
Employee Verification & Records,FTE active employee updates,UPDATING FTE ACTIVE EMPLOYEE
Payroll,Non-exempt status,non exempt
Job Classification & Progression,Employee status change process,employee's status change
Job Classification & Progression,Employee status (typo corrected),employee's stTUS
Job Classification & Progression,Employee status (typo corrected),employee's sttus
Insurance & Benefits,Medical assistance for domestic violence,Can they apply for medical assistance under domestic violence?
HCSA,Medical HCSA assistance,Help me with medical
Forms,MSA meaning (forms context),What is MSA meaning?
Insurance & Benefits,MSA definition,What is MSA
Forms,Submission process assistance,Help me with submission
HR Policies,General supporting documents,supporting document
Employee Separation,Form 1952 submission for benefits,On what date the employee need to submit the 1952 form for the benefits to be effective the 1st of the following month?
Leave of Absence,HRConnect medical leave application,How to apply medical leave of abssence in hr coneect?
Forms,Form 1422 SLA assistance,Help me with 1422 sla
Invalid,Invalid,kp parking garage
FMLA,CO-FAMLI to medical leave change,How to change the CO-FAMLI to Medical leave?
FMLA,CO-FAMLI to medical leave revision,How revised the CO-FAMLI leave to Medical leave?
Recruiting & Hiring,Archived job application retrieval,how to find archived job application
Employee Relations,Physical management in employee relations,physicial management
Need Phone Number,IRS contact number,IRS number
Need Assistance,Missing W2C assistance,W2C missing
Retirement & Savings Plan,Medical retirement,MEDICAL RETIREMENT
Recruiting & Hiring,Application signature date retrieval,how to find when employee signed application
Recruiting & Hiring,Hire data assistance,Help me with hire data
Job Classification & Progression,Probation status removal,remove probation status
Need Assistance,E-signature date retrieval,how to find esignature date
Job Classification & Progression,Probation status check,probation status
Payroll,Workers' compensation payroll,workers compesation
Jury Duty – Process & Pay,Probationary period and jury duty,Help me with probation
Job Classification & Progression,Flexible position classification,flexible position
Employee Separation,Non-union accrual on separation,non union accrual
Leave of Absence,Unpaid leave notification letter,letter to be sent that the employee is on an unpaid leave
Recruiting & Hiring,General job application,job application
Leave of Absence,General medical leave,medical leave
Leave of Absence,Vacation hours for bonding leave post-PFL,is vacation hours required after paid family leave for bonding
Leave of Absence,Vacation hours for bonding leave post-PFL,vacation hours usage for bonding leave after paid family leave
HR Policies,Audit requests to HR consultant,can audit requests be sent to HR consultant
Leave of Absence,Vacation hours post-PFL requirement,is vacation hours required after paid family leave
Leave of Absence,Vacation hours usage post-PFL,where can we find vacation hours usage is required after pfl
Leave of Absence,HRConnect vacation usage post-PFL,where in hrconnect can we locate usage of vacation is required after 8 weeks of pfl
Pay Differential,Total compensation breakdown,total compensation
Payroll,Non-payroll payment definition,what is nonpayroll payment
Education Assistance,CESLA hours usage,cesla hours used
Education Assistance,Summer youth program details,summer youth program
Leave of Absence,Unapproved unpaid bonding leave,unapproved bonding leave unpaid
Benefits,Benefited to per diem conversion,benefitted employee to per diem
Benefits,PTO/Sick hour transfer for on-call,Does pto and sick hours can be transfer once the employee become on call
Leave of Absence,CA PSL accrual for non-benefited,How do I accrue CA Paid Sick Leave as a non-benefited employee?
Payroll,Non-exempt status,non exempt
Payroll,Exempt status assistance,Help me with excempt
HR Policies,CA SDI assistance,Help me with ca sdi
HR Policies,SDI assistance,Help me with sdi
Jury Duty – Process & Pay,Kaiser jury duty coverage duration,How long will Kaiser cover my Jury Duty?
Pay Differential,Third pay period details,third pay period
Pay Differential,Low census work pay,low census work
FMLA,FMLA exhaustion implications,FMLA exhaustion
Employee Verification & Records,NUID sharing policy,can i provide the NUID of the caller over the phone?
Employee Separation,Probationary period duration,how many days is probationary period of an employee?
Employee Separation,Probationary period duration,what is the probationary period of the employee?
PTO/Vacation Accruals,LPN status change & accruals,HOW TO CHECK LPN STATUS CHANGE?
Invalid,Invalid,Help me with Affordable
HCSA,Affordable Care Act (HCSA related),affordable act
Leave of Absence,Leave revision for first day out,revision of leave first day out
Employee Separation,Pay election form template,template for pay election from
Payroll,Exempt status change,change to exempt
Pay Differential,Hourly to salaried conversion,change from hourly to salaried
Leave of Absence,NUE employee medical leave coding,code for a medical leave of a NUE employee
Recruiting & Hiring,Talent acquisition process,Talen acquisition
Recruiting & Hiring,Position application,apply to a position
Recruiting & Hiring,Application assistance,Help me with apply
Recruiting & Hiring,Internship information,Help me with intership
Modified Duty & Pay Integration,Modified duty coding,modified duty coding
HR Policies,Maryland protected sick plan,protected sick plan under maryland
Leave of Absence,Per diem family care leave,family care for per diem
Invalid,Invalid,life birth
HR Policies,Local HR contact,how to contact local HR?
Compliance,Compliance contact methods,How to contact compliance?
Compliance,Compliance contact information,compliance contact
Need Assistance,Conversation recording legality/policy,Recording conversations
HR Policies,SCAL bilingual test policy,SCAL Bilingual Test
HR Policies,Health Equity website,website of health equity
HR Policies,Health Equity claims website,what is health equity website where the enployee can submit a claims?
Benefits,National PTO functions,pto national functions
Benefits,National PTO usage,pto national usage
Leave of Absence,NCAL maternity leave coding issues,missing coding for ncal maternity
Forms,PLO ,Help me with plo
Payroll,Employee tenure,check the tenure
Employee Separation,Form 3150,When does the employee need to resubmit 3150
Forms,Form 3149,do you need to resubmit 3150
Forms,Format,valid format on her doument
Leave of Absence,Family Leave Insurance,Family Leave Insurance Employee Withheld Washington
Leave of Absence,Family Leave Insurance,Family Leave Insurance Employee Withheld Washington
HCSA,Medical card,who's handling the medical card
Leave of Absence,Sick time usage,what to do if the employee had her sick time off before she went on a vacation leave
Pay Differential,Per diem rate,rate for perdiem?
Recruiting & Hiring,Job posting,job posting
Job Classification & Progression,FMI ,what's the reason why the employee fmi for coding is changing?
Leave of Absence,Personal leave,Personal Leave
Payroll,Tax form 1099,what is tax form 1099?
Payroll,Form 1099,what is form 1099 for?
Payroll,Form 1099,what is 1099 for?
Payroll,Income document,income document
Employee Separation,Letter of income,letter of income
Employee Verification & Records,Average hours,Average hours VOE
Insurance & Benefits,Child care,child care verification
Pay Differential,Personal pay,getting paid personal
Employee Verification & Records,Manager signature,does the manager need to sign a VOE
HR Policies,Safety Connect,Safety Connect
Pay Differential,Employment hours,employment hours for nursing program
FMLA,Parental leave,what is parental leave?
Pay Differential,Hour donation,Donation of Hours
Pay Differential,Worked hours,worked hours
Pay Differential,Worked hours,worked hours
Benefits,Change Location,"An employee is residing in SCAL region, but their benefits is based on NCAL region. This employee is having issues using their benefits and would like to map their benefits to SCAL region. What would you advise the employee?"
HR Policies,Local HR,local hr for ncal
Employee Relations,Meeting restrictions,restrictions over meeting
Employee Relations,Meeting restrictions,restirctions over meetings
FMLA,Family Leave,Family Leave
Leave of Absence,Administrative leave pay,when does an employee receive adminstrative leave pay
Pay Differential,Administrative pay,what is administrative pay?
Pay Differential,Admin pay (Administrative pay),what is admin pay?
Employee Separation,Payroll status,Submitting payroll status to METLIFE
Employee Separation,Termination team,Termination team
Leave of Absence,Sick leave usage,what the ee need to use first is it the sick of post back sick
Leave of Absence,Industrial leave,industrial leave
Leave of Absence,Industrial leave,industrial leave
Legal & Compliance,MMI (Maximum Medical Improvement),what does MMI means
Education Assistance,EDD (Employment Development Department) questionnaire,edd questionnaire
Need Assistance,Telemedicine,what is telemedicine?
HCSA,Telemedicine services,I am covered under Telemedicine services from my california health plan and i will be going totexas can i use the  Telemedicine services while im in texas?
Pay Differential,Supplemental pay,supplemental pay
Leave of Absence,Personal leave,pay policy for personal leave
Leave of Absence,Personal leave,personal leave pay
Forms,Form 2090,Help me with 2090
Payroll,Pay election,pay election
Reimbursement,Travel expense,travel expense reimbursement
Payroll,Accounts payable,accounts payable
Reimbursement,Gas mileage reimbursement,Gas mileage reimbursement
Reimbursement,Gas reimbursement,gas reimbursement
Employee Separation,Reimbursement request,CAN THE MANAGER SUBMIT A REIMBURSMENT REQUEST FOR A TERMINATED EMPLOYEE?
Forms,Form 2260,Help me with from 2260
Forms,Form 2260,from 2260 path?
Payroll,Coding reminders,coding reminders
Education Assistance,CESLA (California Earned Sick Leave Act or similar),can cesla hours be reinstated after using it while on leave?
Employee Separation,Full-time employee,how does a full-time employee mass step progression for NW W09 union ?
HCSA,HR Connect,no default payment methods on hr connect
Leave of Absence,Medical leave,How to change the medical leave to worker's comp?
Pay Differential,Workers' compensation pay,workers comp pay
Leave of Absence,Medical leave,How to change the Medical to Industrial leave?
Benefits,Workers' compensation,workers comp
Leave of Absence,Medical leave,Can manager change the Medical leave to  Industrial leave?
Retirement & Savings Plan,Plan B,What is Plan B for retirement savings
Pay Differential,Athens (likely location or specific pay type),athens compensation
HR Policies,Kaiser employee application,How to apply as a Kaiser employee?
HCSA,Kaiser Permanente application,how to apply in kaiser
Employee Separation,Overpayment case,overpayment case status draft
Recruiting & Hiring,External application,external employee application
HCSA,Application process,what department should i transfer the caller if she wants to ap-ply to kaiser?
Need Assistance,KFHP (Kaiser Foundation Health Plan),changes from KFHP to TPMG
HR Policies,CA SDI (California State Disability Insurance),Help me with CA SDI
Forms,EDD (Employment Development Department),Help me with edd SDI
Forms,EDD (Employment Development Department) forms,Help me with edd
Forms,EDD (Employment Development Department),edd overpayment
Forms,Overpayment,overpayemt edd
Leave of Absence,ESL (Extended Sick Leave),ESL usage for KP IT
Leave of Absence,ESL (Extended Sick Leave),Help me with ESL usage
Invalid,GL String (General Ledger String),GL String correction
Pay Differential,Form 1952,1952-Average Hours Review Request
Pay Differential,Form 1952,1952-Average Hours Review Request
Pay Differential,Workplace Injury,"If an employee had a workplace injury and had surgery, will their state source of pay change?"
Payroll,No payment,no payment received
Legal,VOE (Verification of Employment),VOE FOR COURT PURPOSES
Recruiting & Hiring,Internal candidate,internal candidate
Forms,Form 1000,what is form 1000?
Forms,Form 1000,what id form 1000
Forms,Form 1000,Help me with form 1000
Pay Differential,Overtime,more than 40 hours
Pay Differential,Work hours,work hours
Insurance & Benefits,Pet insurance,cancel pet insurance
Education Assistance,EDD (Employment Development Department) application,How to apply to EDD?
Recruiting & Hiring,EDD (Employment Development Department) application,How the ee can apply to EDD and what are the requirements?
Pay Differential,BAH (Basic Allowance for Housing or similar),BAH regional difference
HR Policies,Sabbatical leave,Help me with sabbatical
Recruiting & Hiring,Job requisition,update job requisition
Recruiting & Hiring,Job posting status,If the job posted is disappear in the career website what does it mean?
Job Classification & Progression,Transfer,TRANSFER ON THE SAME PERIOD
Invalid,SEIU-UHW West,SEIU-UHW West birthday holiday
Invalid,Birthday holiday,birthday holiday seiu
Recruiting & Hiring,Job description,job description
Payroll,Salary range,Salary range
Invalid,Super Catch-up (likely related to retirement savings),Super Catchup
Retirement & Savings Plan,Super catch-up,What is super catch up for retirement savings?
Insurance & Benefits,Car insurance,car insurance
Pay Differential,Shift differential,shift differential start time
Pay Differential,Night differential,night differential
Insurance & Benefits,Break the glass,break the glass
Payroll,FMVR (likely an acronym for a payroll-related process),Explain the FMVR in layman terms
Leave of Absence,Personal leave of absence,Personal Leave of Absence
Leave of Absence,Personal leave,Personal Leave
Forms,Form 1480,Help me with 1480
HCSA,HCSA (Healthcare Spending Account),what is the maximum election for HCSA for 2025?
Pay Differential,Reduced work hours,reduced work hours and wage form
Insurance & Benefits,Medical intermittent,medical intermittent
FMLA,Medical ESL (Extended Sick Leave or similar),Help me with medicalesl
Pay Differential,Medical intermittent,medical intermittent hours usage
Insurance & Benefits,Medical intermittent,medical intermittent
Payroll,Incomplete pay,incomplete pay intigration adjustment
Invalid,SDM (likely an acronym for a specific system or process),What is SDM
Need Phone Number,TPMG (The Permanente Medical Group),what is the phone number of TPMG for northern california
Payroll,Accounts payable,Accounts payable for Colorado region
Procurement & Vendor Management,Vendor Contact,"who do I contact to place a vendor order for Denver, CO"
Leave of Absence,Intermittent leave,How to change an intermittent leave to continous in mid atlantic?
FMLA,Tax implications,tax family leave insurance
Benefits,Family leave insurance,family leave insurance employee witheld
Employee Separation,Employee status,status of employee
Employee Verification & Records,Employee status change,change employee status to active
HR Policies,WBS (Work Breakdown Structure) element,what is wbs element
Employee Verification & Records,Inactive to active status,change status from inactive to active
Credentialing & Certification,CFRA (California Family Rights Act),Help me with CFRA
Employee Separation,Employee status,status of employees
Leave of Absence,Administrative leave,admin leave
HCSA,Parent Medical coverage,What are the groups that does not offer Parent Medical coverage?
HCSA,Medicare,what is medicare?
Insurance & Benefits,Break the glass,break the glass assistance
Insurance & Benefits,Domestic partnership,domestic partnership
Insurance & Benefits,Break the glass,details about break the glass
Insurance & Benefits,Break the glass,who manages break the glass inquiries
Insurance & Benefits,Break the glass,who manages break the glass inquies
HCSA,Parent Medical coverage,"Is KP Washington, (AHCU) J07 UFCW L3000 Pharmacy eligible for Parent Medical Coverage if not, what are their options?"
Education Assistance,EDD (Employment Development Department) questionnaire,edd questionnaire
Payroll,Negative post,negative post bank
HCSA,CSA Plan (likely specific benefit plan),Help me with CSA Plan
Payroll,Negative post,negative post bank\
Union & Labor Relations,Union steward,union stuart
Credit Union Services,Member services,number of member services
FMLA,Holiday pay,EE can get a holiday pay while on Family care paid status>
Insurance & Benefits,Proof of good health,does proof of good health is required if the region was transferred even the coverage amount gots decreased?
Employee Separation,Bereavement document,bereavement document
Employee Separation,Bereavement documentation,bereavement documentation
Retirement & Savings Plan,Life insurance,life insurance
Employee Verification & Records,Business continuity access,how to request business continuity access
Employee Relations,Urgent appointment,urgent appointment
Employee Verification & Records,Business continuity,business continuity access
Leave of Absence,Bereavement documentation,bereavement absence documentation
Employee Verification & Records,Manager access,manager access to employee's email
Leave of Absence,Bereavement absence,Bereavement abscence
Leave of Absence,Bereavement leave,Bereavement Leave
Employee Verification & Records,Manager access,can a manager access her employee's email?
Employee Separation,Terminated employee,email access to a terminated employee
Employee Verification & Records,NUID (Non-Employee Unique ID or similar),how can an employee get a niud
PTO/Vacation Accruals,Inactive to active status,how active an inactive employee
Need Phone Number,NPI (National Provider Identifier) number,NPI number
ID Badge,Badge replacement,badge replacement for washington
Employee Relations,Bilingual coordinator,contact information for bilingual coordinator colorado
Recruiting & Hiring,Job accommodation,Job Accomodation
Invalid,Trust (financial instrument),trust will
Legal,Legal advice,legal advise
Legal,Legal advice,legal advises
Invalid,Trust issues,trust issue
Insurance & Benefits,Kin care,can kin care be used to care for a niece?
HR Policies,SDI (State Disability Insurance),Help me with sdi
HR Policies,SID (System ID or similar),Help me with sid
HR Policies,Protection coding,protection coding for non union non benefitted employee in NCAL
Leave of Absence,Family sick leave,coding for 1 day family sick leave
Employee Verification & Records,ACH (Automated Clearing House) report,employee appears on ACH report
Leave of Absence,Industrial leave,Initiating industrial leave
Recruiting & Hiring,Employment history,employement history
Forms,Form 1480,Help me with 1480
Forms,Form 1480,revised 1480
Need Phone Number,Routing number,ROUTING NUMBER NOT RECOGNIZED
Forms,Form 1480,1480 was created in error
Need Phone Number,Routing number,ROUTING NUMBER NOT RECOGNIZED ON HR CONNECT
HR Policies,CA SDI (California State Disability Insurance),Help me with CA SDI
HR Policies,SDI (State Disability Insurance),Help me with SDI
Insurance & Benefits,Medical coverage,medical outside the country
Employee Separation,Current pay period,current pay period
Recruiting & Hiring,Job application,apply for a job
Leave of Absence,NCAL (Northern California),ncal Sick Frontload Usage
Leave of Absence,Sick leave,Sick Frontload Usage
Leave of Absence,Sick leave,sick fron tload usage
Leave of Absence,Frontload leave,frontload usage
Job Classification & Progression,Contractor transfer,how to transfer contractors to another manager in the same department
Insurance & Benefits,MetLife claim,Metlife claim
Retirement & Savings Plan,MetLife claim,metlife claim for GA
HCSA,Medicare assignment,how to assign medicare with Kaiser through parent medical coverage
Recruiting & Hiring,Internal applicant,internal applicant
HCSA,Medical card,I would be travelling abroad can I use my medical card?
Employee Relations,Claim complaint,filing a claim complaint to a manager
Payroll,Trans Pass,What is the trans pass in the payslip?
Payroll,Trans Pass,What is trans pass in the payslip?
Invalid,Trans Pass (likely transportation benefit),Trans Pass?
Education Assistance,Unpaid CESLA (California Earned Sick Leave Act or similar),unpaid cesla
FMLA,Family leave,family leave
Forms,Form 1966,what the status of form 1966?
Reimbursement,Non-payroll payment,Nonpayroll Payment
Payroll,Non-payroll payment,non-payroll payment
Payroll,Non-payroll payment,non payroll payment
Compliance,Domestic concern,Can employee report domestic concern to compliance?
Leave of Absence,Permanent disability,permanent disability extension
Employee Separation,Form 1500,1500 process for permanent disability
Access Now,Access Now (specific system or service),access now
Benefits,Social Security,Can employee get social security payment while still employed with Kaiser?
Retirement & Savings Plan,Social Security,social security eligibility
Payroll,Social Security,social security eligibility for payment
Leave of Absence,Form 2090,Can submitting 2090 will revert the vacation that was used?
Leave of Absence,United HealthCare Workers-West,Can United HealthCare Workers-West convert vacation to sick
Pay Differential,Annual sick time,what is the annual sick time of part time employee from south california
Leave of Absence,Annual sick time,What would be the annual sick time for part time employees
Payroll,Social Security,Social Security payment eligibility while working
PTO/Vacation Accruals,Leave accrual review,average leave accrual review
PTO/Vacation Accruals,Accrual review,average accrual review
Employee Verification & Records,Social Security Number (SSN),No social?
Recruiting & Hiring,Internal applicant,internal applicant
Employee Verification & Records,Union to non-union,union to non union
Document Submission & Status,File management,Help me with files
HR Policies,Fulfillment,Help me with fullfilment
Payroll,Void check,void check
Payroll,Voided check,what does voided check means?
Payroll,Stop payment,reversing a stop payment for direct deposit
Recruiting & Hiring,Candidate status,no longer in consideration for a position
Recruiting & Hiring,Internal candidate,internal candidate
Benefits,KTD (likely specific plan or region),KTD Benefits
Credit Union Services,Direct deposit,Direct Deposit
HR Policies,HR Connect access,EMPLOYEE WITHOUT ACCESS TO HR CONNECT
HR Policies,Local HR,LOCAL HR CONTACT
Business Travel & Expenses,Travel away from home,travel away from home
Reimbursement,Expense submission,Error trying to submit an expense
Employee Verification & Records,SSN (Social Security Number),can we proceed if the employee does not want to confirm SSN?
Payroll,Payslip copy,payslip copy
Benefits,Millennial benefits,WHAT IS MILLENIAL BENEFIT?
Retirement & Savings Plan,401k loan,401k loan process
HCSA,Health premiums,set up pay for health premiums
Employee Verification & Records,ROI (Release of Information),Can ROI submit the information to EDD
Forms,Form 2090,what is the processing time for submitting 2090?
Forms,Name change form,LAST NAME CHANGE FORM
Pay Differential,Pay range,how can a manager confirm the pay range for a nonunion job
HR Policies,LPD (likely an acronym for specific policy),Help me with LPD
Payroll,FPD (likely an acronym for specific pay component),what is a FPD cashout retro
PTO/Vacation Accruals,Non-accruing PSL (Paid Sick Leave),non accruing psl
Leave of Absence,Medical leave,medical leave ncal
Leave of Absence,Leave of absence days,leave of absence days
Leave of Absence,LOA (Leave of Absence) days,loa days accepted
